VEHICLE TYPES,VEHICLE TYPES
limousine,1
mobile foo,1
mooper,1
mop pad,1
none,1
nttrl,1
nv ca,1
nv150,1
ny city mt,1
ny ems,1
nyc acs va,1
nyc b,1
nyc bus,1
nyc dot,1
nyc ems,1
nyc fd,1
nyc fdny,1
nyc fdny #,1
nyc fire d,1
nyc firetr,1
nyc parks,1
nyc truck,1
nycfiredep,1
nycha,1
nycha fork,1
nycha van,1
nyfd,1
nynj rail,1
nypd esu t,1
nys a,1
nonmotords,1
nj transit,1
moped 150c,1
niu,1
moped elec,1
moped gas,1
mopen,1
mopet,1
mopoed,1
moter,1
moto-scoot,1
motor dirt,1
motor skat,1
motor. sco,1
motored sc,1
moving tru,1
mower,1
mta bus  4,1
mta esu ve,1
mta nyc bu,1
mta van,1
mta work t,1
mtabus,1
mtr h,1
mtriz,1
nat grid t,1
navig,1
new flyer,1
nice bus,1
itas,1
internatio,1
f-250,1
food vende,1
firet truc,1
firtruck,1
flat  bed,1
flatbed fr,1
flatbed pi,1
flatbed to,1
flatbed tr,1
fleet,1
flywing mo,1
foglift,1
folk lift,1
food deliv,1
for van,1
inter,1
ford couri,1
ford ec2,1
ford econo,1
ford f-150,1
ford f150,1
ford ff,1
ford picku,1
ford two t,1
forklift t,1
forlift,1
freig delv,1
freighntli,1
fire turck,1
fire truvk,1
fire rig t,1
fire depar,1
f150xl pic,1
f45,1
f550 esu r,1
f650,1
fd ambulan,1
fd apparat,1
fd engine,1
fd tr,1
fdny #226,1
fdny 331 k,1
fdny ambu,1
fdny bus,1
fdny chief,1
fdny ems v,1
fdny emt,1
fdny ferra,1
fdny lader,1
fdny picku,1
fdny sp200,1
fdny- fire,1
fdny285 en,1
fed e,1
federal ex,1
fedex van,1
fire bus,1
freight fl,1
freight to,1
frht trail,1
gover,1
govt p/u t,1
grumm,1
gspc,1
hand,1
harve,1
haul for h,1
hd,1
heavy truc,1
hertz ram,1
hi ta,1
hi-lo,1
hino,1
hino tank,1
historical,1
home made,1
hoverboard,1
hurse,1
hwh,1
hyster for,1
i-haul,1
i1,1
ic,1
in line sk,1
industrial,1
inte truck,1
govt,1
govenment,1
frieghtlin,1
gov vehicl,1
front,1
front end,1
front-load,1
fuel,1
fusion,1
g spc,1
garab,1
garage,1
garbage,1
gas bicycl,1
gas bike,1
gas mo ped,1
gas mo-ped,1
gas powere,1
gas pwr sc,1
gas t,1
gator 4x4,1
gen  ambul,1
glnen,1
glp050vxev,1
gmc,1
gmc delive,1
gmc ecom,1
golf car,1
golf kart,1
�mbu,1
